group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd from expr,,,,,995365.0,ns,454
bdd from expr,,,,,2000530.0,ns,908
bdd from expr,,,,,2981493.0,ns,1362
bdd from expr,,,,,3989260.0,ns,1816
bdd from expr,,,,,4983223.0,ns,2270
bdd from expr,,,,,5982189.0,ns,2724
bdd from expr,,,,,6980253.0,ns,3178
bdd from expr,,,,,7971618.0,ns,3632
bdd from expr,,,,,8966782.0,ns,4086
bdd from expr,,,,,9972348.0,ns,4540
bdd from expr,,,,,10965112.0,ns,4994
bdd from expr,,,,,11947076.0,ns,5448
bdd from expr,,,,,12956042.0,ns,5902
bdd from expr,,,,,13925604.0,ns,6356
bdd from expr,,,,,14930470.0,ns,6810
bdd from expr,,,,,15984038.0,ns,7264
bdd from expr,,,,,16927400.0,ns,7718
bdd from expr,,,,,17919064.0,ns,8172
bdd from expr,,,,,18965032.0,ns,8626
bdd from expr,,,,,19921594.0,ns,9080
bdd from expr,,,,,20906057.0,ns,9534
bdd from expr,,,,,21889122.0,ns,9988
bdd from expr,,,,,22621570.0,ns,10442
bdd from expr,,,,,23968056.0,ns,10896
bdd from expr,,,,,24889417.0,ns,11350
bdd from expr,,,,,25871880.0,ns,11804
bdd from expr,,,,,26909348.0,ns,12258
bdd from expr,,,,,27877511.0,ns,12712
bdd from expr,,,,,28770569.0,ns,13166
bdd from expr,,,,,29654926.0,ns,13620
bdd from expr,,,,,30704494.0,ns,14074
bdd from expr,,,,,32405405.0,ns,14528
bdd from expr,,,,,32916238.0,ns,14982
bdd from expr,,,,,33869500.0,ns,15436
bdd from expr,,,,,34875865.0,ns,15890
bdd from expr,,,,,35925134.0,ns,16344
bdd from expr,,,,,36858494.0,ns,16798
bdd from expr,,,,,37791654.0,ns,17252
bdd from expr,,,,,38626009.0,ns,17706
bdd from expr,,,,,39777484.0,ns,18160
bdd from expr,,,,,40673742.0,ns,18614
bdd from expr,,,,,41623903.0,ns,19068
bdd from expr,,,,,42681273.0,ns,19522
bdd from expr,,,,,43838047.0,ns,19976
bdd from expr,,,,,44704204.0,ns,20430
bdd from expr,,,,,45805275.0,ns,20884
bdd from expr,,,,,46805840.0,ns,21338
bdd from expr,,,,,47789904.0,ns,21792
bdd from expr,,,,,48802670.0,ns,22246
bdd from expr,,,,,49727430.0,ns,22700
bdd from expr,,,,,50784798.0,ns,23154
bdd from expr,,,,,51701759.0,ns,23608
bdd from expr,,,,,52787728.0,ns,24062
bdd from expr,,,,,53791894.0,ns,24516
bdd from expr,,,,,54700053.0,ns,24970
bdd from expr,,,,,55782823.0,ns,25424
bdd from expr,,,,,56794389.0,ns,25878
bdd from expr,,,,,57787454.0,ns,26332
bdd from expr,,,,,58717414.0,ns,26786
bdd from expr,,,,,59744580.0,ns,27240
bdd from expr,,,,,60749446.0,ns,27694
bdd from expr,,,,,61745610.0,ns,28148
bdd from expr,,,,,62792379.0,ns,28602
bdd from expr,,,,,63771142.0,ns,29056
bdd from expr,,,,,64734905.0,ns,29510
bdd from expr,,,,,65717468.0,ns,29964
bdd from expr,,,,,66708833.0,ns,30418
bdd from expr,,,,,67706698.0,ns,30872
bdd from expr,,,,,68711763.0,ns,31326
bdd from expr,,,,,69654324.0,ns,31780
bdd from expr,,,,,70692692.0,ns,32234
bdd from expr,,,,,71747060.0,ns,32688
bdd from expr,,,,,72717323.0,ns,33142
bdd from expr,,,,,73713188.0,ns,33596
bdd from expr,,,,,74759856.0,ns,34050
bdd from expr,,,,,75679315.0,ns,34504
bdd from expr,,,,,76639178.0,ns,34958
bdd from expr,,,,,77625642.0,ns,35412
bdd from expr,,,,,78722715.0,ns,35866
bdd from expr,,,,,79688082.0,ns,36320
bdd from expr,,,,,80678346.0,ns,36774
bdd from expr,,,,,81618307.0,ns,37228
bdd from expr,,,,,82708578.0,ns,37682
bdd from expr,,,,,83665740.0,ns,38136
bdd from expr,,,,,84692808.0,ns,38590
bdd from expr,,,,,85482858.0,ns,39044
bdd from expr,,,,,86789043.0,ns,39498
bdd from expr,,,,,87238673.0,ns,39952
bdd from expr,,,,,88459052.0,ns,40406
bdd from expr,,,,,89639129.0,ns,40860
bdd from expr,,,,,90690897.0,ns,41314
bdd from expr,,,,,91511551.0,ns,41768
bdd from expr,,,,,92601521.0,ns,42222
bdd from expr,,,,,93650790.0,ns,42676
bdd from expr,,,,,94594051.0,ns,43130
bdd from expr,,,,,95538912.0,ns,43584
bdd from expr,,,,,96131951.0,ns,44038
bdd from expr,,,,,97099414.0,ns,44492
bdd from expr,,,,,98493204.0,ns,44946
bdd from expr,,,,,99610478.0,ns,45400
